Member name,Calculation type,Date requested,Deadline,Done by,Checked by,Reviewed by,Date sent,Size,Deadline met?
Assia Assiason,Transfer value,31/12/2019,03/01/2020,Eve,Alice,Bob,02/01/2020,535354,Y
Assmaa Assmaason,Retirement quote,05/01/2020,08/01/2020,Eve,Alice,Bob,08/01/2020,21107,Y
Assunta Assuntason,LRF calculation,12/01/2020,15/01/2020,Eve,Alice,Bob,22/01/2020,,N
Astral Astralson,Transfer value,24/01/2020,28/01/2020,Eve,Alice,Dave,26/01/2020,360822,Y
Asuhma Asuhmason,Transfer value,26/01/2020,30/01/2020,Eve,Alice,Bob,28/01/2020,325572,Y
Aubrey Aubreyson,LRF calculation,27/01/2020,30/01/2020,Alice,Carol,Bob,02/02/2020,,N
Aurora Aurorason,Retirement quote,30/01/2020,02/02/2020,Eve,Alice,Bob,02/02/2020,18216,Y
Ava Avason,Transfer value,02/02/2020,06/02/2020,Eve,Alice,Bob,05/02/2020,557277,Y
Aveen Aveenson,Transfer value,03/02/2020,06/02/2020,Eve,Bob,Carol,06/02/2020,151216,Y
Averyl Averylson,Retirement quote,05/02/2020,07/02/2020,Eve,Alice,Bob,07/02/2020,5374,Y
Ayesha Ayeshason,Retirement quote,14/02/2020,18/02/2020,Eve,Alice,Bob,17/02/2020,6483,Y
Aynsley Aynsleyson,Transfer value,23/02/2020,27/02/2020,Eve,Alice,Bob,25/02/2020,311406,Y
Aysha Ayshason,Transfer value,23/02/2020,27/02/2020,Eve,Alice,Carol,26/02/2020,504731,Y
Azza Azzason,Transfer value,06/03/2020,11/03/2020,Eve,Alice,Bob,09/03/2020,13665,Y
Azzura Azzurason,Transfer value,11/03/2020,13/03/2020,Eve,Bob,Dave,15/03/2020,217637,N
Baljit Baljitson,Retirement quote,12/03/2020,14/03/2020,Eve,Alice,Bob,16/03/2020,11346,N
Bambi Bambison,Transfer value,16/03/2020,19/03/2020,Eve,Alice,Dave,19/03/2020,688516,Y
Barbara-Ann Barbara-Annson,Pension sharing order,19/03/2020,21/03/2020,Eve,Alice,Bob,21/03/2020,,Y
Barbie Barbieson,Retirement quote,20/03/2020,25/03/2020,Eve,Alice,Bob,24/03/2020,13140,Y
Barley Barleyson,Retirement quote,26/03/2020,31/03/2020,Eve,Alice,Bob,28/03/2020,16937,Y
Batool Batoolson,Transfer value,26/03/2020,30/03/2020,Eve,Alice,Bob,29/03/2020,406304,Y
Beata Beatason,Transfer value,28/03/2020,01/04/2020,Eve,Alice,Bob,01/04/2020,73586,Y
Belle Belleson,Retirement quote,02/04/2020,07/04/2020,Eve,Alice,Bob,05/04/2020,9031,Y
Bellinne Bellinneson,Transfer value,08/04/2020,12/04/2020,Eve,Alice,Bob,11/04/2020,121390,Y
Bernice Berniceson,Transfer value,18/04/2020,21/04/2020,Eve,Alice,Dave,20/04/2020,603797,Y
Bethan Bethanson,Transfer value,19/04/2020,22/04/2020,Eve,Alice,Bob,21/04/2020,596281,Y
Bethnae Bethnaeson,Transfer value,19/04/2020,23/04/2020,Eve,Alice,Bob,21/04/2020,360192,Y
Bethne Bethneson,Transfer value,20/04/2020,24/04/2020,Eve,Bob,Dave,22/04/2020,460912,Y
Beverly-Jo Beverly-Joson,Transfer value,29/04/2020,02/05/2020,Eve,Alice,Bob,30/04/2020,143616,Y
